alert_id,alert_type,is_sar,tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp
4,fan_out,True,56254,349,62,TRANSFER,888.19,2017-09-03T00:00:00Z
4,fan_out,True,56827,349,577,TRANSFER,928.26,2017-09-06T00:00:00Z
1,fan_in,True,61917,666,53,TRANSFER,840.52,2017-09-30T00:00:00Z
0,fan_in,True,64013,554,9,TRANSFER,395.7,2017-10-10T00:00:00Z
4,fan_out,True,67032,349,956,TRANSFER,870.21,2017-10-25T00:00:00Z
4,fan_out,True,67430,349,533,TRANSFER,471.09,2017-10-27T00:00:00Z
2,fan_in,True,68335,1031,38,TRANSFER,583.62,2017-11-01T00:00:00Z
8,cycle,True,75655,130,397,TRANSFER,947.08,2017-12-12T00:00:00Z
8,cycle,True,75656,945,1303,TRANSFER,387.65,2017-12-12T00:00:00Z
8,cycle,True,75832,626,130,TRANSFER,129.23,2017-12-13T00:00:00Z
8,cycle,True,75937,485,945,TRANSFER,645.6,2017-12-14T00:00:00Z
8,cycle,True,76058,180,485,TRANSFER,408.75,2017-12-15T00:00:00Z
8,cycle,True,76059,1303,626,TRANSFER,727.22,2017-12-15T00:00:00Z
8,cycle,True,76291,397,180,TRANSFER,189.16,2017-12-16T00:00:00Z
2,fan_in,True,81078,552,38,TRANSFER,719.35,2018-01-16T00:00:00Z
2,fan_in,True,91316,972,38,TRANSFER,645.72,2018-04-02T00:00:00Z
2,fan_in,True,100649,265,38,TRANSFER,782.57,2018-06-17T00:00:00Z
5,fan_out,True,104080,117,103,TRANSFER,600.41,2018-07-16T00:00:00Z
